manufacturer,model,form,smartphone,year,units_sold_m
Samsung,Galaxy Note II,Touchscreen,SmartPhones,2012,30.0
Nokia,5200 (5300),Slider,FeaturePhones,2006,30.0
Xiaomi,Redmi Note 8 and Redmi Note 8 Pro,Touchscreen,SmartPhones,2019,30.0
Samsung,"Galaxy S20, Galaxy S20+ and Galaxy S20 Ultra",Touchscreen,SmartPhones,2020,28.0
Samsung,Galaxy S,Touchscreen,SmartPhones,2010,25.0
Samsung,Galaxy Grand Prime Plus,Touchscreen,SmartPhones,2016,24.2
Samsung,Galaxy A50,Touchscreen,SmartPhones,2019,24.2
Apple,iPhone SE (2nd generation),Touchscreen,SmartPhones,2020,24.2
Samsung,Galaxy A51,Touchscreen,SmartPhones,2019,23.2
Samsung,Galaxy A20,Touchscreen,SmartPhones,2019,23.1
LG,Chocolate VX8500,Slider,FeaturePhones,2006,21.0
Nokia,2100,Bar,FeaturePhones,2003,20.0
Xiaomi,Redmi Note 7 and Redmi Note 7 Pro,Touchscreen,SmartPhones,2019,20.0
Huawei,P30 and P30 Pro,Touchscreen,SmartPhones,2019,20.0
Samsung,Galaxy A21s,Touchscreen,SmartPhones,2020,19.4
Huawei,Mate 10 and Mate 10 Pro,Touchscreen,SmartPhones,2017,17.0
Huawei,Mate 20 and Mate 20 Pro,Touchscreen,SmartPhones,2018,17.0
Samsung,Galaxy A01,Touchscreen,SmartPhones,2019,16.9
HTC,Thunderbolt,Touchscreen,SmartPhones,2011,16.0
Huawei,Mate 9,Touchscreen,SmartPhones,2016,15.8
Samsung,Galaxy A11,Touchscreen,SmartPhones,2020,15.3
Samsung,Galaxy J2 Core,Touchscreen,SmartPhones,2018,15.2
Nokia,5610 XpressMusic,Slider,FeaturePhones,2007,15.0
Nokia,5800 XpressMusic,Touchscreen,SmartPhones,2008,15.0
Nokia,E71,Keyboard bar,SmartPhones,2008,15.0
Sony Ericsson,K300 (K310),Bar,FeaturePhones,2004,15.0
Sony Ericsson,K750,Bar,FeaturePhones,2005,15.0
Sony Ericsson,W800 (W810),Bar,FeaturePhones,2006,15.0
Research In Motion (RIM),BlackBerry Pearl,Bar,SmartPhones,2006,15.0
Xiaomi,Redmi Note 9 Pro,Touchscreen,SmartPhones,2020,15.0
Samsung,"Galaxy S21, Galaxy S21+ and Galaxy S21 Ultra",Touchscreen,SmartPhones,2021,13.5
Motorola,Droid Bionic,Touchscreen,SmartPhones,2011,13.0
LG,Cookie (KP500),Touchscreen,FeaturePhones,2009,13.0
Huawei,Mate 30 and Mate 30 Pro,Touchscreen,SmartPhones,2019,12.0
Samsung,SGH-E700,Flip phone,FeaturePhones,2003,10.0
Nokia,N95,Slider,SmartPhones,2007,10.0
LG,Shine,Slider,FeaturePhones,2008,10.0
Samsung,Star/Tocco Lite (S5230),Touchscreen,FeaturePhones,2009,10.0
Samsung,Galaxy Note,Touchscreen,SmartPhones,2011,10.0
Xiaomi,Mi 2,Touchscreen,SmartPhones,2012,10.0
Samsung,Galaxy Note 3,Touchscreen,SmartPhones,2013,10.0
LG,G3,Touchscreen,SmartPhones,2014,10.0
Samsung,Galaxy Note 8,Touchscreen,SmartPhones,2017,10.0
Xiaomi,Redmi 6A,Touchscreen,SmartPhones,2019,10.0
Oppo,A5,Touchscreen,SmartPhones,2019,9.7
Samsung,Galaxy Note 9,Touchscreen,SmartPhones,2018,9.6
Samsung,Galaxy A30,Touchscreen,SmartPhones,2019,9.2
Xiaomi,Redmi 8A,Touchscreen,SmartPhones,2019,7.3
Oppo,F1 Plus,Touchscreen,SmartPhones,2016,7.0
Xiaomi,Redmi 8,Touchscreen,SmartPhones,2019,6.8
Samsung,Galaxy J4+,Touchscreen,SmartPhones,2018,6.4
Apple,iPhone,Touchscreen,SmartPhones,2007,6.0
LG,Viewty (KU990),Bar,FeaturePhones,2007,5.0
Samsung,Galaxy J6+,Touchscreen,SmartPhones,2018,4.9
Samsung,Galaxy Note 4,Touchscreen,SmartPhones,2014,4.5
Samsung,Galaxy A10s,Touchscreen,SmartPhones,2019,3.9
Samsung,Galaxy A30s,Touchscreen,SmartPhones,2019,3.4
Nokia,N-Gage,Taco,SmartPhones,2003,3.0
LG,G2,Touchscreen,SmartPhones,2013,3.0
LeTV,LeEco Le 1s,Touchscreen,SmartPhones,2016,3.0
Google,Pixel and Pixel XL,Touchscreen,SmartPhones,2016,2.1
Palm,Centro,Keyboard bar,SmartPhones,2007,2.0
Nokia,N97,Tilt slider,SmartPhones,2009,2.0
